siteID,runID,year,genus,0 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,over 90,0 to 5 biom,5 to 10 biom,10 to 20 biom,20 to 30 biom,30 to 40 biom,40 to 50 biom,50 to 60 biom,60 to 70 biom,70 to 80 biom,80 to 90 biom,over 90 biom,degday_resp,drought_resp,shade_resp,perm_resp,flood_resp,nutrient_resp,max_diam,mean_diam,mean_age,max_hgt,leaf_area_ind,basal_area,basal_sd,total_biomC,total_biomC_sd,biomC_lg,biomC_std_lg,biomC_sm,biomC_std_sm,basal_lg,basal_std_lg,basal_sm,basal_std_sm,dens_lg,dens_std_lg,dens_sm,dens_std_sm,dbh_lg,dbh_std_lg,dbh_sm,dbh_std_sm
632,2,0,Alnus,38863.9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.65466,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.953788,1.00000,1.00000,1.00000,1.00000,1.00000,0.500000,0.300292,0.00000,1.72955,3.70695,0.663188,0.110356E-01,2.12423,0.231677E-01,0.00000,0.00000,2.12423,0.231677E-01,0.00000,0.00000,0.663188,0.110356E-01,0.00000,0.00000,67041.6,561.176,0.00000,0.00000,0.300292,0.312212E-02
632,2,0,Betula,2091.40,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.320094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.998886,1.00000,1.00000,1.00000,2.50000,1.49990,0.00000,4.18903,0.192716,0.454487,0.507912E-01,0.320094,0.379353E-01,0.00000,0.00000,0.320094,0.379353E-01,0.00000,0.00000,0.454487,0.507912E-01,0.00000,0.00000,2091.40,170.196,0.00000,0.00000,1.49990,0.721989E-01
632,2,0,Larix,920.500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.188014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,2.50000,1.50385,0.00000,4.61987,0.116083,0.200660,0.394534E-01,0.188014,0.383762E-01,0.00000,0.00000,0.188014,0.383762E-01,0.00000,0.00000,0.200660,0.394534E-01,0.00000,0.00000,920.500,144.840,0.00000,0.00000,1.50385,0.107448
632,2,0,Picea,2855.70,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.420421,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.997216,1.00000,1.00000,1.00000,2.50000,1.50022,0.00000,4.54577,0.327054,0.620874,0.599048E-01,0.420421,0.425832E-01,0.00000,0.00000,0.420421,0.425832E-01,0.00000,0.00000,0.620874,0.599048E-01,0.00000,0.00000,2855.70,197.999,0.00000,0.00000,1.50022,0.630740E-01
632,2,0,Populus,4132.40,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.519930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,2.50000,1.49881,0.00000,5.18354,0.389679,0.896452,0.685279E-01,0.519930,0.428640E-01,0.00000,0.00000,0.519930,0.428640E-01,0.00000,0.00000,0.896452,0.685279E-01,0.00000,0.00000,4132.40,243.678,0.00000,0.00000,1.49881,0.477935E-01
632,2,0,Salix,13320.3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.210079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.500000,0.300256,0.00000,1.50992,0.599445,0.226957,0.747024E-02,0.233318,0.700199E-02,0.00000,0.00000,0.233318,0.700199E-02,0.00000,0.00000,0.226957,0.747024E-02,0.00000,0.00000,22958.4,561.892,0.00000,0.00000,0.300256,0.511716E-02
632,2,5,Alnus,22107.8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.34993,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.948781,1.00000,0.620569,1.00000,1.00000,1.00000,2.16333,1.32417,5.00000,2.99339,4.75875,4.15856,0.171928,4.34993,0.164759,0.00000,0.00000,4.34993,0.164759,0.00000,0.00000,4.15856,0.171928,0.00000,0.00000,22107.8,600.542,0.00000,0.00000,1.32417,0.255085E-01
632,2,5,Betula,1470.60,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.444691,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.938093,1.00000,1.00000,0.164028,3.15745,2.03946,5.00000,4.89924,0.228437,0.557850,0.714409E-01,0.444691,0.609572E-01,0.00000,0.00000,0.444691,0.609572E-01,0.00000,0.00000,0.557850,0.714409E-01,0.00000,0.00000,1470.60,146.667,0.00000,0.00000,2.03946,0.100511
632,2,5,Larix,772.600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.251500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.930255,1.00000,1.00000,0.276431,2.95177,1.87588,5.00000,5.18393,0.140999,0.251019,0.534365E-01,0.251500,0.560085E-01,0.00000,0.00000,0.251500,0.560085E-01,0.00000,0.00000,0.251019,0.534365E-01,0.00000,0.00000,772.600,133.545,0.00000,0.00000,1.87588,0.132506
632,2,5,Picea,2356.20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.586212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.986730,1.00000,1.00000,0.255576,3.03145,1.92212,5.00000,5.13542,0.407212,0.801454,0.824648E-01,0.586212,0.635857E-01,0.00000,0.00000,0.586212,0.635857E-01,0.00000,0.00000,0.801454,0.824648E-01,0.00000,0.00000,2356.20,193.954,0.00000,0.00000,1.92212,0.766907E-01
